fap_subtype,rank,gene,score,logfoldchange,pvals_adj
homeostatic FAP,50,RPL13,38.667164,,0.0
homeostatic FAP,51,TUBA1A,37.98059,,0.0
homeostatic FAP,52,KLF2,37.473686,,5.5160811731788885e-306
homeostatic FAP,53,CILP,37.340282,,8.017880465708338e-304
homeostatic FAP,54,ITIH5,37.116882,,3.207017137143737e-300
homeostatic FAP,55,FGL2,37.087646,,9.364012477541411e-300
homeostatic FAP,56,DST,36.82556,,1.4857321853764093e-295
homeostatic FAP,57,TCF4,36.291172,,4.5084695343516266e-287
homeostatic FAP,58,NEAT1,35.833042,,6.697490276605087e-280
homeostatic FAP,59,DPT,34.931267,,4.784265856126063e-266
homeostatic FAP,60,FN1,33.041447,,3.5953145811402816e-238
homeostatic FAP,61,HSPG2,32.47515,,4.072363587210657e-230
homeostatic FAP,62,EGR1,31.99771,,1.921503876632774e-223
homeostatic FAP,63,SEMA3C,31.988531,,2.564129446321318e-223
homeostatic FAP,64,MFAP5,31.968634,,4.795966724387302e-223
homeostatic FAP,65,ABCA10,31.947756,,9.253461304856872e-223
homeostatic FAP,66,ACTA1,30.55036,,8.383418690239737e-204
homeostatic FAP,67,LTBP4,30.503283,,3.5162775591347834e-203
homeostatic FAP,68,ACTB,30.078724,,1.3451785837283e-197
homeostatic FAP,69,IGFBP5,29.62154,,1.1321197058940081e-191
homeostatic FAP,70,FILIP1L,29.511946,,2.861549476136945e-190
homeostatic FAP,71,TPPP3,29.389648,,1.0340458866312672e-188
homeostatic FAP,72,IGF2,29.06917,,1.2010920963918889e-184
homeostatic FAP,73,PI16,28.884588,,2.5307474807103995e-182
homeostatic FAP,74,HMCN2,28.783808,,4.6219138415669607e-181
homeostatic FAP,75,LIMA1,28.709063,,3.90274977898728e-180
homeostatic FAP,76,ISLR,28.433811,,1.0122458602137434e-176
homeostatic FAP,77,PCDH9,28.0961,,1.401635237608748e-172
homeostatic FAP,78,KCNQ1OT1,27.703758,,7.930703210497129e-168
homeostatic FAP,79,CPB1,27.647682,,3.735774349813161e-167
homeostatic FAP,80,MEG3,27.5192,,1.2934027327617023e-165
homeostatic FAP,81,SPARCL1,27.310892,,3.8727624638474065e-163
homeostatic FAP,82,AKAP12,26.985882,,2.6298167385872765e-159
homeostatic FAP,83,CD248,26.86082,,7.6292070337379e-158
homeostatic FAP,84,DOCK4,26.607235,,6.640577128906069e-155
homeostatic FAP,85,PIK3R1,26.268978,,5.0674592298832775e-151
homeostatic FAP,86,OGN,26.129305,,1.963233232744892e-149
homeostatic FAP,87,CLEC3B,24.901335,,8.151679084804314e-136
homeostatic FAP,88,CBLN4,24.397476,,2.0002306029901256e-130
homeostatic FAP,89,VEGFB,24.390554,,2.3602287204676594e-130
homeostatic FAP,90,ANXA2,24.30249,,2.0068696791318134e-129
homeostatic FAP,91,GAS1,24.253452,,6.566241719414808e-129
homeostatic FAP,92,CAST,24.193,,2.8264343273955463e-128
homeostatic FAP,93,BCHE,23.668447,,7.974893959296555e-123
homeostatic FAP,94,SCARA5,23.662859,,9.072874014611804e-123
homeostatic FAP,95,CLEC14A,23.648626,,1.2668937832247463e-122
homeostatic FAP,96,IRF1,23.573347,,7.490966537212477e-122
